scorer,horizon,coef,nw_se,t,p,nobs,coefficient_scale,tone_sd,hac_convention,alternate_nw_se,family,family_size,interval_scope,alpha,bh_q,bh_reject,by_q,by_reject,bh_by_disagree,claim_reject,claim_basis
finbert,1,-0.00017441258019965585,0.00016117390630827685,-1.0821390645335445,0.2791907399255106,2453,standardized_tone,0.06137104469652124,session_indexed,0.00016117390630827685,primary_return,1,pointwise,0.05,,,,,False,False,unadjusted
finbert,2,-3.778101191050637e-05,0.0001792760100554784,-0.2107421506023853,0.8330884817343823,2452,standardized_tone,0.061379302299617765,session_indexed,0.0001792760100554784,secondary_return,14,pointwise,0.05,0.9460509006801721,False,1.0,False,False,False,BY
finbert,3,-0.00011857336146790416,0.000165198912195475,-0.7177611516448716,0.47290457060133817,2451,standardized_tone,0.06139034567390584,session_indexed,0.000165198912195475,secondary_return,14,pointwise,0.05,0.9460509006801721,False,1.0,False,False,False,BY
finbert,4,-2.945091420230134e-05,0.00016828661526029887,-0.17500449549566297,0.861076101205285,2450,standardized_tone,0.061394434247629796,session_indexed,0.00016828661526029887,secondary_return,14,pointwise,0.05,0.9460509006801721,False,1.0,False,False,False,BY
finbert,5,3.1092158742206466e-05,0.00020334744044082388,0.15290164791257646,0.8784758363458741,2449,standardized_tone,0.06132020301207517,session_indexed,0.00020334744044082388,secondary_return,14,pointwise,0.05,0.9460509006801721,False,1.0,False,False,False,BY
lm,1,6.842934432056713e-05,0.00018065783719312705,0.3787787199478908,0.7048521909794356,2453,standardized_tone,0.0542070526029613,session_indexed,0.00018065783719312705,secondary_return,14,pointwise,0.05,0.9460509006801721,False,1.0,False,False,False,BY
lm,2,-0.00010109736862126936,0.00017604550953881492,-0.5742683746158216,0.5657862065453516,2452,standardized_tone,0.05421239421924283,session_indexed,0.00017604550953881492,secondary_return,14,pointwise,0.05,0.9460509006801721,False,1.0,False,False,False,BY
lm,3,0.00020182316857814836,0.00017509369994550582,1.1526580833060327,0.24905075261795773,2451,standardized_tone,0.054211090276382705,session_indexed,0.00017509369994550582,secondary_return,14,pointwise,0.05,0.9460509006801721,False,1.0,False,False,False,BY
lm,4,-0.00011241297984009575,0.00016751182437917526,-0.6710748943050178,0.5021728195330668,2450,standardized_tone,0.05422212752352195,session_indexed,0.00016751182437917526,secondary_return,14,pointwise,0.05,0.9460509006801721,False,1.0,False,False,False,BY
lm,5,8.78171018215532e-05,0.00017690252464482522,0.49641519813166807,0.6196015044342675,2449,standardized_tone,0.0542316695678758,session_indexed,0.00017690252464482522,secondary_return,14,pointwise,0.05,0.9460509006801721,False,1.0,False,False,False,BY
vader,1,-0.00014975529557116,0.0001922965671184395,-0.7787725897307494,0.43611368696930175,2453,standardized_tone,0.032248608559143514,session_indexed,0.0001922965671184395,secondary_return,14,pointwise,0.05,0.9460509006801721,False,1.0,False,False,False,BY
vader,2,5.580159461372039e-05,0.0001830202440415681,0.304893018288439,0.7604476333600708,2452,standardized_tone,0.03224264074374948,session_indexed,0.0001830202440415681,secondary_return,14,pointwise,0.05,0.9460509006801721,False,1.0,False,False,False,BY
vader,3,4.351188570832441e-06,0.0001994441206841347,0.021816579781379172,0.9825942685816674,2451,standardized_tone,0.03224551099284194,session_indexed,0.0001994441206841347,secondary_return,14,pointwise,0.05,0.9825942685816674,False,1.0,False,False,False,BY
vader,4,-7.309534182266383e-05,0.00019266035778253685,-0.3794000107960422,0.704390842542076,2450,standardized_tone,0.032207993441106295,session_indexed,0.00019266035778253685,secondary_return,14,pointwise,0.05,0.9460509006801721,False,1.0,False,False,False,BY
vader,5,6.017683164549969e-05,0.0002043588177679005,0.29446652854414734,0.7684014365251144,2449,standardized_tone,0.03219675490522123,session_indexed,0.0002043588177679005,secondary_return,14,pointwise,0.05,0.9460509006801721,False,1.0,False,False,False,BY
