period,n,start,end,bps_per_sd,bps_lo95,bps_hi95,se_bps,p
full,2453,2010-04-05,2019-12-30,-1.7441258019965586,-4.903076318115115,1.4148247141219976,1.6117390630827684,0.2791907399255106
first half,1226,2010-04-05,2015-02-13,-0.9151929534093116,-6.65768858186609,4.827302675047466,2.929898545969646,0.7547643929375236
second half,1227,2015-02-17,2019-12-30,-2.8058812334833867,-6.810248450816789,1.1984859838500155,2.043082040751432,0.1696413584492883
difference (first - second),2453,,,1.890688280074075,-5.110112592261864,8.891489152410013,3.571902814315653,0.5965817978924681
