scorer,horizon,statistic,observed_coef,observed_bps,percentile,n,n_shifts,n_below,n_ties,tie_precision_bps,shift_domain,shifted_coef_min,shifted_coef_max,shifted_coef_mean,shifted_bps_p05,shifted_bps_p95,n_gaps,largest_gap_sessions,hac_convention,is_p_value,reporting_note
lm,1,tone coefficient under circular shift of standardized tone,6.842934432060789e-05,0.6842934432060789,0.6863024867509172,2453,2452,1658,51,0.1,"retained analysis rows in session order, after eligibility",-0.0005124238477852767,0.0005670425571897153,4.501653720524868e-08,-2.624812939206319,2.5401633017102996,0,0,session_indexed,False,"Descriptive timing diagnostic reported as a percentile rank. It is NOT a p-value for H0: beta = 0 and is not assumption-free: shifting tone also destroys its relationship with the controls, so this is not the null distribution of the conditional coefficient. The inferential statement comes from the HAC interval alone. A shift of k positions is not a shift of k calendar sessions where the retained rows have gaps; n_gaps and largest_gap_sessions quantify that."
vader,1,tone coefficient under circular shift of standardized tone,-0.0001497552955712285,-1.4975529557122849,0.15898899306971057,2453,2452,366,48,0.1,"retained analysis rows in session order, after eligibility",-0.000495282597305249,0.0010285507822883175,2.7930361998553015e-08,-2.44349873362074,2.440356765534793,0,0,session_indexed,False,"Descriptive timing diagnostic reported as a percentile rank. It is NOT a p-value for H0: beta = 0 and is not assumption-free: shifting tone also destroys its relationship with the controls, so this is not the null distribution of the conditional coefficient. The inferential statement comes from the HAC interval alone. A shift of k positions is not a shift of k calendar sessions where the retained rows have gaps; n_gaps and largest_gap_sessions quantify that."
finbert,1,tone coefficient under circular shift of standardized tone,-0.00017441258019985082,-1.7441258019985082,0.15511618426416632,2453,2452,363,35,0.1,"retained analysis rows in session order, after eligibility",-0.0005827550211406083,0.001752265168909417,9.491267847031426e-08,-2.785380935806122,2.754199920601131,0,0,session_indexed,False,"Descriptive timing diagnostic reported as a percentile rank. It is NOT a p-value for H0: beta = 0 and is not assumption-free: shifting tone also destroys its relationship with the controls, so this is not the null distribution of the conditional coefficient. The inferential statement comes from the HAC interval alone. A shift of k positions is not a shift of k calendar sessions where the retained rows have gaps; n_gaps and largest_gap_sessions quantify that."
