lag,residual_acf,tone_acf,abs_band_95,residual_outside_band
1,0.002257869093531454,0.5222179386646661,0.03957303115017356,False
2,0.005556536997876598,0.4693557529730174,0.03957303115017356,False
3,-0.03249031234606482,0.43540344705801437,0.03957303115017356,False
4,-0.024267246683604093,0.450281362914644,0.03957303115017356,False
5,-0.08233634192172884,0.45262760889946496,0.03957303115017356,True
6,-0.004652030880491444,0.3991031189784505,0.03957303115017356,False
7,0.02214925903656651,0.37259350529373986,0.03957303115017356,False
8,-0.029077826727274554,0.3721765222315362,0.03957303115017356,False
9,-0.020156464196849862,0.38633524637071415,0.03957303115017356,False
10,0.02286498415415917,0.3731451580017592,0.03957303115017356,False
11,0.009574605757587102,0.32330992874591374,0.03957303115017356,False
12,0.0011692514014025866,0.3185710423431819,0.03957303115017356,False
13,-0.002815589958834541,0.32117191288494573,0.03957303115017356,False
14,-0.04541114134983783,0.30964321433650455,0.03957303115017356,True
15,-0.03860463306181011,0.32960424759412793,0.03957303115017356,False
16,0.022177139212881343,0.2964098280619863,0.03957303115017356,False
17,0.04425579171444317,0.25065290225694875,0.03957303115017356,True
18,-0.019502690584967414,0.2622461337799885,0.03957303115017356,False
19,-0.038543584861064975,0.26491068556988256,0.03957303115017356,False
20,0.02116560430583027,0.2725476468925439,0.03957303115017356,False
