term,coef,nw_se,p,estimand,nobs,interval_scope
const,0.0006010582480893631,0.00019305028362191917,0.0018489487524107199,incremental_contribution_given_the_other_scorer,2453,pointwise
z_s_finbert,-0.00021483429402163493,0.00018072499538801575,0.23454360026050625,incremental_contribution_given_the_other_scorer,2453,pointwise
z_s_lm,0.00013319140064557575,0.00020015408263100625,0.50576633526206,incremental_contribution_given_the_other_scorer,2453,pointwise
ret,-0.04494482322698847,0.03932462628985353,0.25307263837381766,incremental_contribution_given_the_other_scorer,2453,pointwise
rv_parkinson,-1.5846572444717162,1.7917754127999312,0.37647698921468453,incremental_contribution_given_the_other_scorer,2453,pointwise
log_volume_detrended,0.0002331481376515583,0.0007029252324080052,0.7401288666994608,incremental_contribution_given_the_other_scorer,2453,pointwise
