quantity,estimate,se,bps_per_sd,bps_lo95,bps_hi95,n,tone_sd,interval_scope,coefficient_scale,hac_convention
finbert,-0.00017441258019954705,0.00016117390630827671,-1.7441258019954706,-4.9030763181140244,1.414824714123083,2453,0.06137104469652124,pointwise,standardized_tone,session_indexed
lm,6.842934432058882e-05,0.000180657837193127,0.6842934432058883,-2.8565351010284075,4.225121987440184,2453,0.0542070526029613,pointwise,standardized_tone,session_indexed
delta(finbert - lm),-0.0002428419245201359,0.00022733290623533922,-2.428419245201359,-6.884062332422218,2.0272238420195,2453,,pointwise,standardized_tone,session_indexed
