set,contrast,role,n,macro_f1_difference,macro_f1_lo95,macro_f1_hi95,accuracy_difference,accuracy_lo95,accuracy_hi95,n_groups,draws,seed,interval_scope,resampling_unit
full,finbert-lm,primary,596,0.10168205584817541,0.05026995146934005,0.1528766677749198,0.04865771812080533,0.0,0.09731543624161076,595,10000,20260830,pointwise,article_group
full,finbert-vader,descriptive,596,0.17089841065328548,0.11726335657710638,0.22563085375763223,0.13758389261744963,0.08724832214765105,0.18823529411764706,595,10000,20260830,pointwise,article_group
full,lm-vader,descriptive,596,0.06921635480511007,0.01464207424111641,0.1246568147089394,0.0889261744966443,0.04201680672268904,0.13567839195979903,595,10000,20260830,pointwise,article_group
confident,finbert-lm,primary,541,0.10416956865198751,0.05182467139268023,0.1560644261022054,0.06469500924214422,0.014759468036669233,0.11481481481481481,540,10000,20260830,pointwise,article_group
confident,finbert-vader,descriptive,541,0.16309127077225483,0.1068244112992723,0.21776442217891873,0.13123844731977824,0.07933579335793356,0.18299445471349352,540,10000,20260830,pointwise,article_group
confident,lm-vader,descriptive,541,0.058921702120267316,0.0012878539508945244,0.115410846851461,0.06654343807763402,0.01848428835489835,0.1160220994475138,540,10000,20260830,pointwise,article_group
